pid,title,language,collection,original_label,rights,location_of_original,photographer_or_studio,scanned_from,_date,location,description,additional_notes,permission_display,on_server,on_website
SHA-02-005,SHA-02-005,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",Group of men among them Khidir al Hawi Osman Hussain Sid Ahmed 'Ali Nur al Jalil Hassan Saroji Khalifallah al 'Alam Sharhabil Ahmed Ahmed Daoud Sayed Khalifa Tayuba Badr al Tahami and a small child,,yes,no,no
SHA-02-005,SHA-02-005,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,مجموعة من الرجال من ضمنهم خضر الحاوي عثمان حسين سيد احمد. علي نور الجليل حسن سروجي خلف الله الاعلام شرحبيل احمد احمد داوود سيد خليفة طيوبه بدر التهامي والطفلة الصغيرة,,yes,no,no
SHA-02-006,SHA-02-006,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Eritrea, Asmara",Men welcoming the band,,yes,no,no
SHA-02-006,SHA-02-006,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اريتريا، اسمرا,رجال يرحبون الفرقة,,yes,no,no
SHA-02-007,SHA-02-007,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",party,,yes,no,no
SHA-02-007,SHA-02-007,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,حفلة ,,yes,no,no
SHA-02-008,SHA-02-008,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Massawa",Lunch at restaurant among them Hassan Saroji Sid Ahmed and Osman Hussain,,yes,no,no
SHA-02-008,SHA-02-008,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، مصوع,غداء في المطعم من ضمنهم حسن سروجي سيد احمد عثمان حسين,,yes,no,no
SHA-02-009,SHA-02-009,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Eritrea, Asmara",Crowd in front of Cinema Empire,Sharhabil Ahmed concert held there,yes,yes,yes
SHA-02-009,SHA-02-009,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اريتريا، اسمرا,جمهور امام سينيما امباير,اقيم فيه حفل شرحبيل احمد,yes,yes,yes
SHA-02-010,SHA-02-010,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Massawa",Band meeting ,,yes,yes,yes
SHA-02-010,SHA-02-010,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، مصوع,البعثة المفية ,,yes,yes,yes
SHA-02-011,SHA-02-011,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,Ethiopia,Men in plane among them Ahmed al Mustafa Badr al Tuhami and Khalifallah Abu al Sid,On the way to the city of Jimma,yes,no,no
SHA-02-011,SHA-02-011,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا,رجال في الطائرة من ضمنهم احمد المصطفى بدر التهامي خلف الله ابو السيد,في طريق مدينة جما,yes,no,no
SHA-02-012,SHA-02-012,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",Men on plane among them Ahmed al Mustafa Badr al Tahami Khalifallah Abu al Sid Khidir al Hawi Sharhabil Ahmed and Osman Hussain,,yes,no,no
SHA-02-012,SHA-02-012,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,رجال في الطائرة من ضمنهم احمد المصطفى بدر التهامي خلف الله ابو السيد خضر الحاوي سيد خليفة شرحبيل احمد عثمان حسين,,yes,no,no
SHA-02-013,SHA-02-013,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",Group of men,,yes,no,no
SHA-02-013,SHA-02-013,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,مجموعة الرجال,,yes,no,no
SHA-02-014,SHA-02-014,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",Ahmed Daoud and Hassan Saroji performing Ager Fakkir theater,,yes,no,no
SHA-02-014,SHA-02-014,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,يعزف احمد داوود وحسن سروجي في مسرح اقير فاكر,,yes,no,no
SHA-02-015,SHA-02-015,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa, Sudanese Club",Osman Hussain's performance set with Abdel Latif Khidir Badr al Tahami Tayuba Hassan Saroji Sid Ahmed and Hussain Jad al Sid,,yes,no,no
SHA-02-015,SHA-02-015,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا، نادي السوداني,عثمان حسين في وصلة غنائية من ضمنهم عبد اللطيف خضر بدر التهامي طيوبا حسن سروجي سيد احمد حسين جاد السيد,,yes,no,no
SHA-02-016,SHA-02-016,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Massawa",Reception of band ,,yes,no,no
SHA-02-016,SHA-02-016,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، مصوع,استقبال البعثة ,,yes,no,no
SHA-02-017,SHA-02-017,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",Band and others at Sudanese Embassy or house of ambassador,,yes,no,no
SHA-02-017,SHA-02-017,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,البعثة والاخرين في السفارة السوداني او في بيت السفير,,yes,no,no
SHA-02-018,SHA-02-018,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 12.2 by 16.4,1962,"Ethiopia, Addis Ababa",Crowd among them Ahmed Mustafa Osman Hussain Khidir al Hawi Sharhabil Ahmed Abdel Latif Khidir al Hawi Tayuba ,,yes,no,no
SHA-02-018,SHA-02-018,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 12.2 by 16.4,1962,اثيوبيا، اديس ابابا,جمهور من ضمنهم احمد المصطفى عثمان حسين خضر الحاوي شرحبيل احمد عبد اللطيف خضر الحاوي طيوبا,,yes,no,no
SHA-03-001,SHA-03-001,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 17.9 by 22.2,1953-1954,Omdurman,Hilal Youth Team among them Kamil Hussain Sharhabil Ahmed al Na'im Farajallah 'Awad Siddiq Abdel Rahman Gasim al Sid Abu Shanab 'Awadain 'Abdu Abdel Gadir Kamal Muhammad Yusef,,yes,no,no
SHA-03-001,SHA-03-001,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 17.9 by 22.2,1953-1954,امدرمان ,اشبال نادي الهلال من ضمنهم كامل حسين شرحبيل احمد النعيم فرج الله عوض صديق عبد الرحمن قسم السيد ابو شنب عوضين عبده عبد القادر كمال محمد يوسف,,yes,no,no
SHA-03-002,SHA-03-002,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,Studio al Farid,photograph 6.5 by 10,"December, 1971","Bahri, al Mazad",Sharhabil Ahmed,,yes,no,no
SHA-03-002,SHA-03-002,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,استوديو الفريد,photograph 6.5 by 10,"December, 1971",بحري، المزاد,شرحبيل احمد,,yes,no,no
SHA-03-003,SHA-03-003,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,Studio al Farid,photograph 6.5 by 10,"December, 1971","Bahri, al Mazad",Sharhabil Ahmed,"""I had this picture taken before going to Cairo Music Institute vacation""",yes,no,no
SHA-03-003,SHA-03-003,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,استوديو الفريد,photograph 6.5 by 10,"December, 1971",بحري، المزاد,شرحبيل احمد,"""هذه الصورة اخذتها قبل ذهابي رحلة للقاهرة اجازة معهد الموسيقى""",yes,no,no
SHA-03-004,SHA-03-004,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1992,"Khartoum, Hilton ",Ramadan Concert Sharhabil Ahmed Kamil Hussain ٍShahira Sharhabil Nahid Sharhabil,,yes,no,no
SHA-03-004,SHA-03-004,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1992,الخرطوم، هلتون,حفلة رمضان من ضمنهم شرحبيل احمد كامل حسين وشهرية شرحبيل وناهد شرحبيل,,yes,no,no
SHA-03-005,SHA-03-005,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1992,"Khartoum, Hilton",Ramadan Concert Sharhabil Ahmed Kamil Hussain 'Ali Yaqoub Shihab Shahira Sharhabil Nahid Sharhabil,,yes,no,no
SHA-03-005,SHA-03-005,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1992,الخرطوم، هلتون,حفلة رمضان من ضمنهم على يعقوب كامل حسين شرحبيل احمد شهاب شهيرة شرحبيل ناهد شرحبيل,,yes,no,no
SHA-03-006,SHA-03-006,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2005,Khartoum,Sharhabil Ahmed at Arab Cultural Capital,,yes,no,no
SHA-03-006,SHA-03-006,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2005,الخرطوم,شرحبيل احمد في عاصمة الثقافة العربية,,yes,no,no
SHA-03-007,SHA-03-007,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 7.4 by 10.5,1960s,Port Sudan,Sharhabil Ahmed and three others,,yes,no,no
SHA-03-007,SHA-03-007,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 7.4 by 10.5,1960s,بورتسودان,شرحبيل احمد وثلاثة اخرين,,yes,no,no
SHA-03-008,SHA-03-008,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9.9 by 15,c. 1959,Khartoum,Sharhabil Ahmed with a guitar,,yes,no,no
SHA-03-008,SHA-03-008,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 9.9 by 15,c. 1959,الخرطوم,شرحبيل احمد بالجيتار,,yes,no,no
SHA-03-009,SHA-03-009,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1995,"Kafouri, French Ambassador's Residence",Sharhabi Ahmed 'Ali Yagoub Kamild Hussain and Zakia Abu Gasim in concert,,yes,no,no
SHA-03-009,SHA-03-009,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1995,كافوري، منزل السفير الفرنسي,شرحبيل احمد علي يعقوب كامل حسين زكية ابو القاسم في حفلة ,,yes,no,no
SHA-03-010,SHA-03-010,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10 by 14.5,1991-1995,"Khartoum, Khartoum University Publishing House",Dancing fans in front of Sharhabil Ahmed's band,,yes,no,no
SHA-03-010,SHA-03-010,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10 by 14.5,1991-1995,الخرطوم، دار النشر جامعة الخرطوم,معجبين راقصين اما فرقة شرحبيل احمد,,yes,no,no
SHA-03-011,SHA-03-011,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 7.3 by 10.5,1963-1964,Malakal,Ahmed Daoud and Muhammadiya in the airport,,yes,no,no
SHA-03-011,SHA-03-011,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 7.3 by 10.5,1963-1964,ملكال,احمد داوود ومحمدية في المطار,,yes,no,no
SHA-03-012,SHA-03-012,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 13,1980s,Burri,Sharhabil Ahmed with guitar,,yes,no,no
SHA-03-012,SHA-03-012,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 8.8 by 13,1980s,بري,شرحبيل احمد بالجيتار,,yes,no,no
SHA-03-013,SHA-03-013,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.4 by 12.4,1965-1967,Khartoum Zoo,Sharhabil Ahmed,was used as cover of one of Sharhabil Ahmed's albums,yes,no,no
SHA-03-013,SHA-03-013,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 8.4 by 12.4,1965-1967,الخرطوم، حديقة الحيوانات,شرحبيل احمد,مستخدم في غلاف البوم شرحبيل احمد,yes,no,no
SHA-03-014,SHA-03-014,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9.8 by 12.4,mid 1970s,"Emirates, Sharga",Sharhabil Ahmed Osama Abdullah Deng,,yes,no,no
SHA-03-014,SHA-03-014,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 9.8 by 12.4,mid 1970s,الامارات، الشارقة,شرحبيل احمد اسامة عبد الله دينق,,yes,no,no
SHA-03-015,SHA-03-015,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 12.4,1971-1975,"Khartoum, New Saint James",Sharhabil Ahmed,,yes,no,no
SHA-03-015,SHA-03-015,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 12.4,1971-1975,الخرطوم، نيو سانت جيمس,شرحبيل احمد,,yes,no,no
SHA-03-016,SHA-03-016,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 6.9 by 8.8,1980s,"Khartoum, Khartoum Publishing Bureau ",Sharhabil Ahmed,,yes,no,no
SHA-03-016,SHA-03-016,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 6.9 by 8.8,1980s,الخرطوم، مكتب النشر,شرحبيل احمد,,yes,no,no
SHA-03-017,SHA-03-017,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 20.2 by 25.8,1976-1977,Emirates,Sharhabil Ahmed and band Abu Dhabi Television Theater Concert,,yes,no,no
SHA-03-017,SHA-03-017,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 20.2 by 25.8,1976-1977,الامارات,شرحبيل احمد وفرقته حفل مسرح التلفزيون ابو ظبي ,,yes,no,no
SHA-03-018,SHA-03-018,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 16.5 by 22,1965,"Khartoum, Omdurman National Theater",Concert with children Sharhabil Ahmed Kamil Hussain Mahdi 'Ali Imam and Ahmed Ibrahim Daoud,,yes,no,no
SHA-03-018,SHA-03-018,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 16.5 by 22,1965,امدرمان، المسرح القومي,حفلة مع الاطفال شرحبيل احمد كامل حسين مهدي على امام احمد ابراهيم داوود,,yes,no,no
SHA-03-019,SHA-03-019,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1992,"Khartoum, Hilton",Ramadan Concert Sharhabil Ahmed Kamil Hussain 'Ali Yaqoub Shihab Shahira Sharhabil Nahid Sharhabil,,yes,no,no
SHA-03-019,SHA-03-019,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1992,الخرطوم، هلتون,حفلة رمضان من ضمنهم على يعقوب كامل حسين شرحبيل احمد شهاب شهيرة شرحبيل ناهد شرحبيل,,yes,no,no
SHA-03-020,SHA-03-020,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 17.9 by 24,1957-1958,"Egypt, Manufiya, Sirs al Layan",All foreign envoys and teachers including Sharhabil Ahmed and Abdel Mun'im Najjar,,yes,no,no
SHA-03-020,SHA-03-020,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 17.9 by 24,1957-1958,مصر، المنوفية، سرس الليان,كل المبعوثين والاساتذة من ضمنهم شرحبيل احمد وعبد المنعم نجار,,yes,no,no
SHA-03-021,SHA-03-021,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 14.8 by 21.6,2004,"Egypt, Cairo",Advertisement for Sharhabil Ahmed concert,,yes,no,no
SHA-03-021,SHA-03-021,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 14.8 by 21.6,2004,مصر، القاهرة,الاعلام لحفلة شرحبيل احمد,,yes,no,no
SHA-03-022,SHA-03-022,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 12.6,1991,Khartoum,Concert Sharhabil Ahmed Muhammad Dallo Ibrahim Omer 'Adil Kukab,,yes,no,no
SHA-03-022,SHA-03-022,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 8.8 by 12.6,1991,الخرطوم,حفلة شرحبيل احمد محمد دللو ابراهيم عمر عادل كوكاب,,yes,no,no
SHA-03-023,SHA-03-023,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 12.4,1970s,"Emirates, Sharga",Concert Sharhabil Ahmed Osama Abullah Deng,,yes,no,no
SHA-03-023,SHA-03-023,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 8.8 by 12.4,1970s,الامارات، الشارقة,حفلة شرحبيل احمد اسامة عبد الله دينق,,yes,no,no
SHA-03-024,SHA-03-024,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 12.6,1984,Libya,Sharhabil Ahmed concert,,yes,no,no
SHA-03-024,SHA-03-024,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 8.8 by 12.6,1984,ليبيا,حفلة شرحبيل احمد,,yes,no,no
SHA-03-025,SHA-03-025,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 8.8 by 12.4,1980s,Khartoum,Sharhabil Ahmed concert with 'Ali Yagoub Muhammad Mustafa Sharhabil Ahmed Kamil Hussain and Wahid Deng,,yes,no,no
SHA-03-025,SHA-03-025,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 8.8 by 12.4,1980s,الخرطوم,حفلة شرحبيل احمد مع علي يعقوب محمد مصطفى شرحبيل احمد كامل حسين وحيد دينق,,yes,no,no
SHA-03-026,SHA-03-026,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,Sudanese Ministry of Information,photograph 16.5 by 20.6,1958-1959,Kadaru,Sharhabhil Ahmed and band with violin and 'oud,"""When I played violin""",yes,no,no
SHA-03-026,SHA-03-026,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,وزارة الاعلام السوداني,photograph 16.5 by 20.6,1958-1959,الكدرو,شرحبيل احمد وفرقته مع الكمان والعود,"""عندما كنت أعزف كمنجة""",yes,no,no
SHA-03-027,SHA-03-027,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,1991-1992,"Khartoum, Hilton",Ramadan Concert Sharhabil Ahmed Kamil Hussain 'Ali Yaqoub Shihab Shahira Sharhabil Nahid Sharhabil,,yes,no,no
SHA-03-027,SHA-03-027,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,1991-1992,الخرطوم، هلتون,حفلة رمضان من ضمنهم على يعقوب كامل حسين شرحبيل احمد شهاب شهيرة شرحبيل ناهد شرحبيل,,yes,no,no
SHA-03-028,SHA-03-028,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 10.1 by 15.1,2000s,Khartoum,Sharhabil Ahmed,,yes,no,no
SHA-03-028,SHA-03-028,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 10.1 by 15.1,2000s,الخرطوم,شرحبيل احمد,,yes,no,no
SHA-03-029,SHA-03-029,en ,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9.2 by 21.2,2008,Khartoum,Advertisement for Sharhabil Ahmed concert,,yes,no,no
SHA-03-029,SHA-03-029,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 9.2 by 21.2,2008,الخرطوم,الاعلام لحفلة شرحبيل احمد,,yes,no,no
SHA-03-030,SHA-03-030,en,Sharhabil Ahmed,,Sharhabil Ahmed,Sharhabil Ahmed,,photograph 9.1 by 11.7,1959,Khartoum,private concert at house of american embassy worker Musa Bahr Ibrahim Ali Nur al Jalil Sharhabil Ahmed and Ms. Beacon,,yes,yes,yes
SHA-03-030,SHA-03-030,ar,شرحبيل احمد,,شرحبيل احمد,شرحبيل احمد,,photograph 9.1 by 11.7,1959,الخرطوم,حفلة خاصة في بيت موظفة بالسفارة الامريكية موسى بحر ابراهيم علي نور الجليل شرحبيل احمد مس بيكون,,yes,yes,yes
